G/L Acct/BP Code,Name,Local Currency - Jordanian Dinar - OB,Local Currency - Jordanian Dinar - Debit,Local Currency - Jordanian Dinar - Credit,Local Currency - Jordanian Dinar - Balance
Assets,,,,,
,,,,,
50102,تكاليف أخرى,,,,
,,,,,
5010102,تكاليف أخرى,,,,
,,,,,
5010102001,فروقات اسعار الشراء,,308990021.5,317895244.5,-8905222.978
5010102002,فروقات جرد المخزون ربح/ خسارة,,61971.775,31788.089,30183.686
5010102003,فروقات تقييم المخزون ربح / خسارة,,274508.425,43890.04,230618.385
5010102004,فروقات في التصنيع,,8733365.641,52459.162,8680906.479
,,__________________,__________________,__________________,__________________
Total 5010102,تكاليف أخرى,,318059867.4,318023381.8,36485.572
,,__________________,__________________,__________________,__________________
Total 50102,تكاليف أخرى,,318059867.4,318023381.8,36485.572
,,__________________,__________________,__________________,__________________
Total 501,تكلفة المبيعات,,320278222,318260866,2017355.957
,,__________________,__________________,__________________,__________________
Total Cost of Sales,,,320278222,318260866,2017355.957
,,,,,
Operating Costs,,,,,
,,,,,
601,مصاريف صناعية,,,,
,,,,,
60101,مصاريف صناعية,,,,
,,,,,
6010101,مصاريف صناعية-المصنع,,,,
,,,,,
6010101001,مصاريف رواتب وأجور,,133092.54,25754.577,107337.963
6010101002,مصاريف الضمان الأجتماعي,,17872.169,3190.581,14681.588
6010101003,مصاريف مكافأة موظفين,,20,,20
6010101004,مصاريف صيانة الالات والمعدات,,6139.415,,6139.415
6010101005,مصاريف المياه,,8614.48,,8614.48
6010101006,مصاريف الكهرباء,,22087.772,,22087.772
6010101007,مصاريف مياء و صرف صحي,,22192.78,475,21717.78
6010101008,مصاريف صيانة عامة,,10645.233,3170,7475.233
6010101009,مصاريف ملابس مهنية,,1749.5,,1749.5
6010101010,مصاريف عينات,,2039.606,,2039.606
6010101011,مصاريف متفرقة,,52.048,0.5,51.548
6010101014,مصاريف لوازم مستهلكة,,23163.838,2689.761,20474.077
6010101015,مصاريف محروقات -ديزل,,2107.135,,2107.135
6010101016,مصاريف محروقات - فيول,,117001.276,19795.9,97205.376
6010101017,مصاريف طعام موظفين,,8383.8,12.225,8371.575
6010101019,مصاريف تعبئة وتغليف,,25004.372,5621.75,19382.622
6010101020,مصاريف سلامة عامة,,1563,,1563
6010101023,مصاريف هاتف وأتصالات وأنترنت,,358.688,,358.688
6010101026,مصاريف علاج موظفين,,330,195.5,134.5
6010101027,مصاريف مواد تنظيف,,2502,,2502
6010101031,مصاريف صيانة سيارات,,3,,3
6010101032,مصاريف مواصلات موظفين,,2465.986,715,1750.986
6010101036,مصاريف فروقات اسعار,,,,
6010101038,مصاريف مواد مخبرية,,658.166,,658.166
6010101039,مصاريف فحص عينات,,2774.827,,2774.827
6010101040,مصاريف تحميل وتنزيل,,1829.61,20,1809.61
6010101041,مصاريف نظافة,,1511.1,,1511.1
,,__________________,__________________,__________________,__________________
Total 6010101,مصاريف صناعية-المصنع,,414162.341,61640.794,352521.547
,,,,,
,,__________________,__________________,__________________,__________________
Total 60101,مصاريف صناعية,,414162.341,61640.794,352521.547
,,,,,
